cluster,token_stem,count_per_doc,count_of_docs,tfidf
1,function,1,2,0.010099370469446286
1,fundament,4,1,0.07095699720545301
1,furnitur,2,1,0.035478498602726505
1,futur,4,3,0.02252131137088604
1,ga,4,2,0.04039748187778514
1,gain,1,2,0.010099370469446286
1,gather,2,1,0.035478498602726505
1,gener,10,3,0.056303278427215095
1,genet,1,2,0.010099370469446286
1,get,3,5,0.0
1,give,3,5,0.0
1,given,3,2,0.030298111408338855
1,global,13,5,0.0
1,globe,1,2,0.010099370469446286
1,go,2,3,0.01126065568544302
1,goal,6,4,0.014756949825175902
1,good,9,4,0.02213542473776385
1,govern,12,3,0.06756393411265812
1,government,2,2,0.02019874093889257
1,great,5,1,0.08869624650681626
1,greater,2,1,0.035478498602726505
1,green,3,1,0.05321774790408976
1,greenhous,2,1,0.035478498602726505
1,grievanc,2,2,0.02019874093889257
1,group,4,3,0.02252131137088604
1,grow,2,2,0.02019874093889257
1,grown,1,2,0.010099370469446286
1,guid,3,1,0.05321774790408976
1,guidanc,2,3,0.01126065568544302
1,guidelin,6,3,0.03378196705632906
1,handl,2,2,0.02019874093889257
1,harass,4,3,0.02252131137088604
1,hard,3,2,0.030298111408338855
1,harmon,1,2,0.010099370469446286
1,headquart,2,3,0.01126065568544302
1,health,5,3,0.028151639213607547
1,healthi,5,3,0.028151639213607547
1,healthier,2,1,0.035478498602726505
1,held,1,2,0.010099370469446286
1,help,9,5,0.0
1,herein,1,2,0.010099370469446286
1,heritag,1,2,0.010099370469446286
1,high,5,5,0.0
1,higher,2,3,0.01126065568544302
1,highest,8,2,0.08079496375557028
1,highlight,1,2,0.010099370469446286
1,hire,1,3,0.00563032784272151
1,histor,2,1,0.035478498602726505
1,histori,3,3,0.01689098352816453
1,hold,4,3,0.02252131137088604
1,home,3,1,0.05321774790408976
1,honesti,2,2,0.02019874093889257
1,honestli,2,2,0.02019874093889257
1,hood,2,1,0.035478498602726505
1,hotlin,1,3,0.00563032784272151
1,hour,1,3,0.00563032784272151
1,hous,1,3,0.00563032784272151
1,howev,2,4,0.004918983275058634
1,http,1,2,0.010099370469446286
1,human,17,5,0.0
1,icon,2,1,0.035478498602726505
1,identifi,6,4,0.014756949825175902
1,ignit,2,1,0.035478498602726505
1,ii,1,2,0.010099370469446286
1,ill,2,1,0.035478498602726505
1,illeg,3,3,0.01689098352816453
1,illinoi,1,2,0.010099370469446286
1,illustr,2,1,0.035478498602726505
1,ilo,3,2,0.030298111408338855
1,immedi,2,2,0.02019874093889257
1,impact,5,4,0.012297458187646583
1,implement,6,3,0.03378196705632906
1,import,10,4,0.024594916375293166
1,importantli,2,1,0.035478498602726505
1,impos,1,2,0.010099370469446286
1,improv,12,3,0.06756393411265812
1,inc,8,4,0.019675933100234536
1,incid,1,2,0.010099370469446286
1,includ,19,4,0.04673034111305702
1,incorpor,4,3,0.02252131137088604
1,increas,6,3,0.03378196705632906
1,indentur,5,4,0.012297458187646583
1,independ,9,4,0.02213542473776385
1,indic,1,2,0.010099370469446286
1,individu,6,4,0.014756949825175902
1,industri,13,3,0.07319426195537963
1,inform,15,3,0.08445491764082265
1,ingredi,2,3,0.01126065568544302
1,initi,5,3,0.028151639213607547
1,injuri,1,2,0.010099370469446286
1,innov,8,3,0.04504262274177208
1,input,2,1,0.035478498602726505
1,inquiri,1,3,0.00563032784272151
1,insid,2,2,0.02019874093889257
1,inspect,2,3,0.01126065568544302
1,inspir,1,3,0.00563032784272151
1,instal,2,1,0.035478498602726505
1,institut,2,3,0.01126065568544302
1,instruct,2,2,0.02019874093889257
1,integr,11,3,0.06193360626993662
1,intend,4,3,0.02252131137088604
1,interact,1,2,0.010099370469446286
1,interest,2,2,0.02019874093889257
1,intern,14,4,0.03443288292541044
1,internation,3,2,0.030298111408338855
1,internet,2,2,0.02019874093889257
1,introduc,3,2,0.030298111408338855
1,invest,2,1,0.035478498602726505
1,involuntari,3,3,0.01689098352816453
1,involv,4,3,0.02252131137088604
1,iso,2,1,0.035478498602726505
1,issu,9,4,0.02213542473776385
1,item,2,2,0.02019874093889257
1,januari,1,3,0.00563032784272151
1,job,1,3,0.00563032784272151
1,join,5,3,0.028151639213607547
1,joint,2,2,0.02019874093889257
1,jurisdict,2,3,0.01126065568544302
1,just,1,3,0.00563032784272151
1,k,2,1,0.035478498602726505
1,keep,3,3,0.01689098352816453
1,kei,6,3,0.03378196705632906
1,kind,4,2,0.04039748187778514
1,know,4,4,0.009837966550117268
1,knowledg,2,3,0.01126065568544302
1,known,3,3,0.01689098352816453
1,la,1,2,0.010099370469446286
1,label,2,2,0.02019874093889257
1,labor,15,4,0.036892374562939756
1,labour,3,2,0.030298111408338855
1,land,1,2,0.010099370469446286
1,landfil,1,2,0.010099370469446286
1,languag,2,3,0.01126065568544302
1,larg,2,3,0.01126065568544302
1,largest,2,3,0.01126065568544302
1,last,1,3,0.00563032784272151
1,latest,1,3,0.00563032784272151
1,launch,2,1,0.035478498602726505
1,law,15,4,0.036892374562939756
1,lead,8,3,0.04504262274177208
1,leader,4,1,0.07095699720545301
1,leadership,5,1,0.08869624650681626
1,learn,5,4,0.012297458187646583
1,leas,2,1,0.035478498602726505
1,least,3,3,0.01689098352816453
1,leed,3,1,0.05321774790408976
1,legal,8,3,0.04504262274177208
1,legisl,2,2,0.02019874093889257
1,less,3,3,0.01689098352816453
1,level,4,3,0.02252131137088604
1,leverag,1,2,0.010099370469446286
1,licens,2,1,0.035478498602726505
1,life,4,4,0.009837966550117268
1,lifecycl,3,1,0.05321774790408976
1,light,2,3,0.01126065568544302
